Host,log(mass),err_upper,err_lower ,log(tau),err_upper,err_lower,tage,err_upper,err_lower
NGC 2768,11.141,0.0004,-0.0004,-0.1398,0.0007,-0.0007,8.2583,0.0119,-0.0123
NGC 5559 ,10.384,0.0003,-0.0003,-0.8821,0.0007,-0.0007,0.9082,0.0014,-0.0014
NGC 2207,10.9193,0.0013,-0.0021,-0.4041,0.0006,-0.0005,1.734,0.0033,-0.0058
UGC 6934 ,10.2437,0.1079,-0.1056,0.1091,0.4351,-0.3104,5.8138,3.6194,-2.4832
NGC 5714,10.299,0.0004,-0.0004,0.6266,0.0006,-0.0005,13.6136,0.0018,-0.0033
NGC 1032 ,10.9244,0.0017,-0.0017,-0.5007,0.0045,-0.0044,3.4723,0.0217,-0.0223
NGC 4589 ,10.9768,0.0002,-0.0002,-0.3871,0.0004,-0.0004,4.8459,0.0037,-0.0037
NGC 1129,10.8301,0.0034,-0.0033,-0.0792,0.0417,-0.0534,12.6501,0.2636,-0.2813
CGCG 170-011,10.4002,0.0081,-0.0087,-0.8378,0.0911,-0.1273,2.3249,0.1213,-0.1254
NGC 2272,10.5987,0.0008,-0.0008,-0.4938,0.0018,-0.0017,3.5209,0.0107,-0.0105
MCG-01-06-070 ,10.3998,0.0004,-0.0004,-0.5208,0.0007,-0.0007,1.8382,0.0029,-0.0028
NGC 4321 ,10.9265,0.0006,-0.0008,-0.9121,0.0005,-0.0006,0.9043,0.0016,-0.002
2MASX J22465295+2138221 ,9.4605,0.0674,-0.0741,0.7786,0.1498,-0.2105,2.8801,0.8652,-0.6302
NGC 2639 ,11.0333,0.0011,-0.0011,-0.4753,0.0015,-0.0015,3.1756,0.0107,-0.0109
IC 3956,10.4521,0.0092,-0.0079,-0.9782,0.0276,-0.0159,1.5908,0.037,-0.0361
NGC 7265  ,9.9991,0.0465,-0.0424,-0.8008,0.0756,-0.0911,1.6364,0.209,-0.1803
SDSS J130109.43 +280159.1/WISEA,9.4916,0.1161,-0.0815,-0.5023,0.4689,-0.316,3.3854,3.008,-0.9363
NGC 3430 ,9.9804,0.0001,-0.0001,-0.7714,0.0001,-0.0001,1.0456,0.0002,-0.0002
2MASX J00505254+2722432 ,8.3511,0.1264,-0.0929,0.52,0.3048,-0.2895,0.3429,0.1883,-0.0941
